oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
departamento en venta en san rafael,3650000.0,47.0,,,19.4378062,-99.1644967,easyaviso,2025-05-09 13:25:53.299823,77659.5744680851
proyecto de usos mixtos distingue tu vida,2337104.0,30.0,,,19.4376516,-99.1724718,easyaviso,2025-05-09 13:25:53.299823,77903.46666666666
venta de departamento en colonia cuauhtemoc,5990000.0,79.6,,,19.4332175,-99.1711272,easyaviso,2025-05-09 13:25:53.299823,75251.25628140704
preventa departamento de 2 recamaras con balcon,6518338.0,75.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-09 13:25:53.299823,86911.17333333334
venta  de ph de 2 recamaras en col. cuauhtemoc solo para inversionistas,7900000.0,158.0,2.0,2.0,19.4301322,-99.1691413,easyaviso,2025-05-09 13:25:53.299823,50000.0
venta ph con roof garden y balcon a estrenar col. cuauhtemoc,6500000.0,134.0,,,19.4316439,-99.1608004,easyaviso,2025-05-09 13:25:53.299823,48507.46268656717
carlos juan finlay cuauhtemoc,6500000.0,83.0,2.0,,19.3880779,-99.1012847,easyaviso,2025-05-09 13:25:53.299823,78313.2530120482
amplio ph en venta a estrenar con roof garden privado colonia cuauhtemoc,8390000.0,163.0,2.0,3.0,19.4255513,-99.1751531,easyaviso,2025-05-09 13:25:53.299823,51472.39263803681
hermosos departamentos a estrenar en venta en colonia cuauhtemoc,5350000.0,85.0,,2.0,19.4255513,-99.1751531,easyaviso,2025-05-09 13:25:53.299823,62941.17647058824
departamento exterior con terraza,8500000.0,150.0,2.0,3.0,19.4332329,-99.1660573,easyaviso,2025-05-09 13:25:53.299823,56666.666666666664
colonia cuauhtemoc departamento en venta,7612752.0,80.0,2.0,2.0,19.4269984,-99.1701674,easyaviso,2025-05-09 13:25:53.299823,95159.4
departamento en venta colonia cuauhtemoc,5268330.0,58.0,,,19.4269984,-99.1701674,easyaviso,2025-05-09 13:25:53.299823,90833.27586206897
departamento en lazaro cardenas en venta,2807000.0,62.69,2.0,2.0,19.4300874,-99.1416877,easyaviso,2025-05-09 13:25:53.299823,44775.881320784814
departamento en lazaro cardenas en venta,2234000.0,53.0,,,19.4300874,-99.1416877,easyaviso,2025-05-09 13:25:53.299823,42150.943396226416
departamento en cuauhtemoc,1910000.0,42.0,,2.0,19.4346971,-99.1689567,easyaviso,2025-05-09 13:25:53.299823,45476.19047619047
departamento venta anzures 60m2 depto 1207,4100000.0,60.0,,,19.4408119,-99.1694644,easyaviso,2025-05-09 13:25:53.299823,68333.33333333333
departamento en venta tres lagos anahuac miguel hidalgo,5800000.0,80.0,2.0,2.0,19.4390071393,-99.1806029702,easyaviso,2025-05-09 13:25:53.299823,72500.0
departamento be grand polanco alcaldia miguel hidalgo,9480000.0,104.8,2.0,3.0,19.4400604,-99.1857682,easyaviso,2025-05-09 13:25:53.299823,90458.01526717558
departamento en la calle rio ebro para modernizar,2700000.0,54.0,,2.0,19.432648,-99.1713434,easyaviso,2025-05-09 13:25:53.299823,50000.0
venta de departamento en renacimiento cuauhtemoc kf284,3000000.0,81.0,,,19.5491502,-99.1367205,easyaviso,2025-05-09 13:25:53.299823,37037.03703703704
departamento en venta en parques plaza nuevo polancolago alberto 442 anahuac,3900000.0,52.0,,,19.4384194,-99.1783942,easyaviso,2025-05-09 13:25:53.299823,75000.0
departamento en venta en colonia cuauhtemoc 8390000,8390000.0,138.5,2.0,3.0,19.4259631662,-99.1754508104,easyaviso,2025-05-09 13:25:53.299823,60577.61732851985
