,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
112,nuevo desarrollo en preventa con excelente ubicacion en la col. cuauhtemoc entre,4156147,61,NA,NA,easyaviso,25:53.3,68133.55738,19.4340686,-99.1682132,CUAUHTEMOC,15-009
113,departamento en venta tipo loft  2990000,2990000,47.25,NA,NA,easyaviso,25:53.3,63280.42328,19.43079953,-99.17263979,CUAUHTEMOC,15-009
114,departamento en preventa en cuauhtemoc,6.00E+06,72,2,2,easyaviso,25:53.3,83333.33333,19.4306645,-99.1713662,CUAUHTEMOC,15-009
115,departamento en preventa en cuauhtemoc,5842000,90,2,2,easyaviso,25:53.3,64911.11111,19.4334119,-99.1702157,CUAUHTEMOC,15-009
116,departamento en preventa en cuauhtemoc,5750000,80,2,2,easyaviso,25:53.3,71875,19.4262629,-99.1743598,CUAUHTEMOC,15-009
117,departamento en venta via roma,5750000,70,NA,2,easyaviso,25:53.3,82142.85714,19.4312064,-99.1702009,CUAUHTEMOC,15-009
118,venta de departamento ph en rio guadalquivir cuauhtemoc,6900000,76,2,2,easyaviso,25:53.3,90789.47368,19.42980191,-99.17075306,CUAUHTEMOC,15-009
119,venta departamento ph en la colonia cuauhtemoc,10624142,135.61,NA,NA,easyaviso,25:53.3,78343.35226,19.4308787,-99.1696056,CUAUHTEMOC,15-009
120,venta departamento en la colonia cuauhtemoc,10467135,135.61,2,2,easyaviso,25:53.3,77185.56891,19.4308787,-99.1696056,CUAUHTEMOC,15-009
121,venta departamento en la colonia cuauhtemoc,10056700,135.61,2,2,easyaviso,25:53.3,74158.98533,19.4308787,-99.1696056,CUAUHTEMOC,15-009
122,venta departamento en la colonia cuauhtemoc,4444800,64,NA,NA,easyaviso,25:53.3,69450,19.4308787,-99.1696056,CUAUHTEMOC,15-009
123,departamentos para estrenar colonia cuauhtemoc,5943866,72.25,2,2,easyaviso,25:53.3,82268.04152,19.42980191,-99.17075306,CUAUHTEMOC,15-009
124,departamentos para estrenar colonia cuauhtemoc,5842500,70,2,2,easyaviso,25:53.3,83464.28571,19.4338022,-99.1703514,CUAUHTEMOC,15-009
125,departamento en venta en rio nilo colonia cuahutemoc cdmx,5400000,90,2,2,easyaviso,25:53.3,60000,19.4286428,-99.1718132,CUAUHTEMOC,15-009
126,venta departamento en la colonia cuauhtemoc,4583700,66,NA,NA,easyaviso,25:53.3,69450,19.4308787,-99.1696056,CUAUHTEMOC,15-009
127,oportunidad unica de adquirir un amplio departamento de 144m2 .,4500000,144,2,3,easyaviso,25:53.3,31250,19.4329039,-99.1715436,CUAUHTEMOC,15-009
128,venta departamento rio panuco,5500000,70,NA,NA,easyaviso,25:53.3,78571.42857,19.42979955,-99.16935904,CUAUHTEMOC,15-009
129,iconico departamento en venta en la cuauhtemoc del arq. mario pani,11300000,200,3,2,easyaviso,25:53.3,56500,19.42980191,-99.17075306,CUAUHTEMOC,15-009
130,venta departamento rio guadalquivir  cuauhtemoc.,6647999,89,2,2,easyaviso,25:53.3,74696.61798,19.4292751,-99.1705033,CUAUHTEMOC,15-009
131,departamento en venta colonia cuauhtemoc,4950000,89,2,2,easyaviso,25:53.3,55617.97753,19.4303962,-99.1713224,CUAUHTEMOC,15-009
132,departamento en venta,6700000,90,2,2,easyaviso,25:53.3,74444.44444,19.4286962,-99.1702584,CUAUHTEMOC,15-009
133,ph en venta cerca de reforma,4500000,55,NA,NA,easyaviso,25:53.3,81818.18182,19.4270736,-99.1750914,CUAUHTEMOC,15-009
134,estrene departamento en la cuauhtemoc,5750000,77,2,2,easyaviso,25:53.3,74675.32468,19.4316439,-99.1608004,CUAUHTEMOC,15-009
135,renta  venta departamento amueblado a unos pasos de reforma,1.00E+07,220,3,3,easyaviso,25:53.3,45454.54545,19.43145847,-99.16376452,CUAUHTEMOC,15-009
136,ph en venta en cuauhtemoc con roof garden privado,9500000,178,2,2,easyaviso,25:53.3,53370.78652,19.428108,-99.174522,CUAUHTEMOC,15-009
137,departamento en venta en cuauhtemoc,4860000,88,2,2,easyaviso,25:53.3,55227.27273,19.432859,-99.1639295,CUAUHTEMOC,15-009
138,departamento en venta en cuauhtemoc,9999000,183,2,2,easyaviso,25:53.3,54639.34426,19.428447,-99.171561,CUAUHTEMOC,15-009
139,departamento en venta nuevo en cuauhtemoc,6872340,90,2,2,easyaviso,25:53.3,76359.33333,19.427447,-99.172561,CUAUHTEMOC,15-009
140,departamento en venta en cuauhtemoc,4350000,110,NA,3,easyaviso,25:53.3,39545.45455,19.435135,-99.168902,CUAUHTEMOC,15-009
141,venta departamentos col. cuauhtemoc,5450000,74.25,2,2,easyaviso,25:53.3,73400.6734,19.4298854,-99.1691796,CUAUHTEMOC,15-009
142,venta departamentos col. cuauhtemoc,7450000,80.5,2,2,easyaviso,25:53.3,92546.58385,19.4284411,-99.1690587,CUAUHTEMOC,15-009
143,venta departamentos col. cuauhtemoc,6317500,75.7,2,2,easyaviso,25:53.3,83454.42536,19.4335862,-99.1698593,CUAUHTEMOC,15-009
144,venta departamento col. cuauhtemoc,5943866,76.4,2,2,easyaviso,25:53.3,77799.29319,19.4292751,-99.1705033,CUAUHTEMOC,15-009
145,ultimo departamento a estrenar en la cuauhtemoc,6850000,104.76,2,2,easyaviso,25:53.3,65387.5525,19.430982,-99.167918,CUAUHTEMOC,15-009
146,entrega inmediata departamento en la cuauhtemoc,5052570,72.99,NA,2,easyaviso,25:53.3,69222.77024,19.4292751,-99.1705033,CUAUHTEMOC,15-009
147,ph de 1 recamara en cuauhtemoc,6500000,134,NA,NA,easyaviso,25:53.3,48507.46269,19.4316439,-99.1608004,CUAUHTEMOC,15-009
148,espectacular departamento en rio panuco 65 col. cuauhtemoc,7.00E+06,81.95,2,2,easyaviso,25:53.3,85417.93777,19.4316992,-99.1659505,CUAUHTEMOC,15-009
149,pent house de 1 recamara con roof garden privado.,6500000,83,NA,NA,easyaviso,25:53.3,78313.25301,19.4316818,-99.1613059,CUAUHTEMOC,15-009
150,preventa departamentos  rio tiber 36 mzo 2026 4944383  a 6672956,4944383,80,NA,NA,easyaviso,25:53.3,61804.7875,19.4320686,-99.1702132,CUAUHTEMOC,15-009
151,departamento en rio rhin 0,5500000,60,2,NA,easyaviso,25:53.3,91666.66667,19.431351,-99.1651613,CUAUHTEMOC,15-009
152,jose rosas moreno ii san rafael cuauhtemoc cdmx,2497500,36,NA,NA,easyaviso,25:53.3,69375,19.4344624,-99.1648411,CUAUHTEMOC,15-009
153,increible suits en ritz  carlton reforma,1.90E+07,58,NA,NA,easyaviso,25:53.3,327586.2069,19.4273694,-99.1684647,CUAUHTEMOC,15-009
154,departamento en venta,3950000,84,NA,2,easyaviso,25:53.3,47023.80952,19.4301322,-99.1691413,CUAUHTEMOC,15-009
155,unico departamento polanco,4100000,60,NA,NA,easyaviso,25:53.3,68333.33333,19.43438913,-99.1708568,CUAUHTEMOC,15-009
156,oportunidad unica de adquirir un amplio departamento,4500000,144,2,3,easyaviso,25:53.3,31250,19.4326506,-99.1714121,CUAUHTEMOC,15-009
157,cjf y rio lerma vive en la colonia cuauhtemoc,5750000,75,2,2,easyaviso,25:53.3,76666.66667,19.4316912,-99.1613396,CUAUHTEMOC,15-009
158,venta  departamento a estrenar en colonia cuauhtemoc,5651501,70,2,2,easyaviso,25:53.3,80735.72857,19.4316411,-99.1654733,CUAUHTEMOC,15-009
159,venta departamento  en colonia cuauhtemoc,5850000,70.1,2,2,easyaviso,25:53.3,83452.21113,19.4334119,-99.1702157,CUAUHTEMOC,15-009
160,rio guadalquivir  cuauhtemoc,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.4292751,-99.1705033,CUAUHTEMOC,15-009
161,rio guadalquvir cuauhtemoc cuauhtemoc,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.4292751,-99.1705033,CUAUHTEMOC,15-009
162,estrena zona gran plusvalia centrica,5460000,85.52,2,2,easyaviso,25:53.3,63844.71469,19.4292751,-99.1705033,CUAUHTEMOC,15-009
163,departamento en st. regis,35084160,183,2,2,easyaviso,25:53.3,191716.7213,19.4256427,-99.172342,CUAUHTEMOC,15-009
164,departamento en venta en cuauthemoc,6300000,70,2,2,easyaviso,25:53.3,90000,19.4317498,-99.1652508,CUAUHTEMOC,15-009
165,departamentos en venta en la col cuauhtemoc ciudad de mexico cdmx,6500000,77,2,2,easyaviso,25:53.3,84415.58442,19.4282629,-99.1723598,CUAUHTEMOC,15-009
166,departamento en la col cuauhtemoc super ubicado ciudad de mexico cdmx,5990000,72,2,2,easyaviso,25:53.3,83194.44444,19.43039,-99.1666023,CUAUHTEMOC,15-009
167,departamento con terraza en venta cuauhtemoc,7100000,107,2,NA,easyaviso,25:53.3,66355.14019,19.4317498,-99.1652508,CUAUHTEMOC,15-009
168,departamento en venta en la cuauhtemoc sobre  rio hudson,5900000,99.5,2,2,easyaviso,25:53.3,59296.48241,19.4264859,-99.1748858,CUAUHTEMOC,15-009
169,venta departamento,5500000,60,2,NA,easyaviso,25:53.3,91666.66667,19.431351,-99.1651613,CUAUHTEMOC,15-009
170,cuauhtemoc depto. frente al parque olof palme para inversionista,6700000,119,2,2,easyaviso,25:53.3,56302.52101,19.4337147,-99.1705028,CUAUHTEMOC,15-009
171,cuauhtemoc rio rhin atencion inversionistas,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4310044,-99.1650972,CUAUHTEMOC,15-009
172,departamento remodelado en rio lerma col. cuauhtemoc,5190000,115,2,2,easyaviso,25:53.3,45130.43478,19.430629,-99.1637617,CUAUHTEMOC,15-009
