,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
517,departamento en venta en st regis,64320960,189,2,2,easyaviso,25:53.3,340322.5397,19.4256427,-99.172342,CUAUHTEMOC,15-009
518,departamento en preventa rio papaloapan 19 al lado de reforma,6431100,75,2,2,easyaviso,25:53.3,85748,19.4296229,-99.1653226,CUAUHTEMOC,15-009
519,departamento en venta   the ritzcarlton,23389440,80,NA,NA,easyaviso,25:53.3,292368,19.4240425,-99.1757592,CUAUHTEMOC,15-009
520,cuauhtemocdepartamentoventacdmx,5737100,70.03,2,2,easyaviso,25:53.3,81923.46137,19.4317093,-99.1659514,CUAUHTEMOC,15-009
521,cuauhtemocdepartamentoventacdmx,5726800,70.03,2,2,easyaviso,25:53.3,81776.38155,19.4317093,-99.1659514,CUAUHTEMOC,15-009
522,cuauhtemocdepartamento ventacdmx,5623800,70.12,2,2,easyaviso,25:53.3,80202.50998,19.4317093,-99.1659514,CUAUHTEMOC,15-009
523,departamento de ritz carlton,18029360,60,NA,NA,easyaviso,25:53.3,300489.3333,19.423797,-99.1756078,CUAUHTEMOC,15-009
524,departamento en rio tiber  cuauhtemoc,4350000,89,2,2,easyaviso,25:53.3,48876.40449,19.4306406,-99.1695675,CUAUHTEMOC,15-009
525,departamento en venta rio rhin colonia cuauhtemoc ciudad de mexico.,5900000,70,2,2,easyaviso,25:53.3,84285.71429,19.4310044,-99.1650972,CUAUHTEMOC,15-009
526,departamento cuauhtemoc  reforma,6.00E+06,81.32,2,2,easyaviso,25:53.3,73782.58731,19.43199342,-99.16540862,CUAUHTEMOC,15-009
527,departamentos en venta rio nazas 185,5300000,52.6,NA,NA,easyaviso,25:53.3,100760.4563,19.4300507,-99.1721338,CUAUHTEMOC,15-009
528,departamento de st. regis,37033280,189,2,2,easyaviso,25:53.3,195943.2804,19.4256427,-99.172342,CUAUHTEMOC,15-009
529,super depa remodelado y amueblado en plaza grijalva,6400000,98,2,2,easyaviso,25:53.3,65306.12245,19.4301322,-99.1691413,CUAUHTEMOC,15-009
530,departamentos rio papaloapan  cuauhtemoc,6583080,75,2,2,easyaviso,25:53.3,87774.4,19.4295694,-99.1650953,CUAUHTEMOC,15-009
531,nuevo departamento en venta col. cuauhtemoc,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4310044,-99.1650972,CUAUHTEMOC,15-009
532,venta departamento en colonia cuauhtemoc,4950000,90,2,2,easyaviso,25:53.3,55000,19.4301322,-99.1691413,CUAUHTEMOC,15-009
533,departamento en venta en colonia cuauhtemoc,6700000,90,2,2,easyaviso,25:53.3,74444.44444,19.4291907,-99.1702334,CUAUHTEMOC,15-009
534,departamento en venta en chapultepec uno r509,19668043.66,73.32,NA,NA,easyaviso,25:53.3,268249.3679,19.42409131,-99.17581022,CUAUHTEMOC,15-009
535,departamento de 2 recamaras en venta en chapultepec uno r509,30624164.12,112.29,2,2,easyaviso,25:53.3,272723.8768,19.423797,-99.1756078,CUAUHTEMOC,15-009
536,departamento en venta en avenida paseo de la reforma 439 cuauhtemoc cdmx,31696000,183,3,2,easyaviso,25:53.3,173202.1858,19.4254105,-99.1721848,CUAUHTEMOC,15-009
537,departamento en muy buena ubicacion atras de la torre mayor,8700000,190,2,2,easyaviso,25:53.3,45789.47368,19.4262236,-99.1733693,CUAUHTEMOC,15-009
538,departamento venta cuauhtemoc rio elba rdv599485,6690000,116.5,NA,2,easyaviso,25:53.3,57424.8927,19.4260089,-99.1755645,CUAUHTEMOC,15-009
539,departamento venta en 2 niveles cuauhtemoc rio elba rdv599491,8390000,163.5,2,3,easyaviso,25:53.3,51314.98471,19.4260089,-99.1755645,CUAUHTEMOC,15-009
540,departamento venta cuauhtemoc rio elba rdv599479,4940000,86.5,NA,2,easyaviso,25:53.3,57109.82659,19.4260089,-99.1755645,CUAUHTEMOC,15-009
541,depa venta  nuevo precio increible,8850000,85,2,2,easyaviso,25:53.3,104117.6471,19.4301322,-99.1691413,CUAUHTEMOC,15-009
542,hermoso desarrollo  en rio rhin entre reforma y parque sullivan,6432000,92,2,2,easyaviso,25:53.3,69913.04348,19.4317498,-99.1652508,CUAUHTEMOC,15-009
543,hermoso desarrollo  en rio rhin entre reforma y parque sullivan,5465000,77,2,2,easyaviso,25:53.3,70974.02597,19.4317498,-99.1652508,CUAUHTEMOC,15-009
544,departamento venta 2 terrazas cuauhtemoc,6990000,111,2,2,easyaviso,25:53.3,62972.97297,19.4319434,-99.1678492,CUAUHTEMOC,15-009
545,cuauhtemoc departamento en venta,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.4321765,-99.1717473,CUAUHTEMOC,15-009
546,departamento en venta en paseo de reforma,18817701.08,65.18,NA,NA,easyaviso,25:53.3,288703.6066,19.4273694,-99.1684647,CUAUHTEMOC,15-009
547,departamento en venta en paseo de reforma,31504211.3,117.03,2,NA,easyaviso,25:53.3,269197.7382,19.4273694,-99.1684647,CUAUHTEMOC,15-009
548,departamento en venta en paseo de reforma,19133049.2,70.68,NA,NA,easyaviso,25:53.3,270699.6208,19.4273694,-99.1684647,CUAUHTEMOC,15-009
549,departamento en venta en paseo de reforma,30624164.12,112.29,2,NA,easyaviso,25:53.3,272723.8768,19.4273694,-99.1684647,CUAUHTEMOC,15-009
550,departamento en venta en paseo de reforma,19668043.66,73.32,NA,NA,easyaviso,25:53.3,268249.3679,19.4273694,-99.1684647,CUAUHTEMOC,15-009
551,departamento en venta en paseo de reforma,30674003.12,113.01,2,NA,easyaviso,25:53.3,271427.335,19.4273694,-99.1684647,CUAUHTEMOC,15-009
552,departamento en venta en paseo de reforma,19998965.25,74.61,NA,NA,easyaviso,25:53.3,268046.7129,19.4273694,-99.1684647,CUAUHTEMOC,15-009
553,cuauhtemoc departamento con terraza en venta,6317500,76,2,2,easyaviso,25:53.3,83125,19.4340024,-99.1698862,CUAUHTEMOC,15-009
554,departamento en rio rhin,5900000,84,2,2,easyaviso,25:53.3,70238.09524,19.4317498,-99.1652508,CUAUHTEMOC,15-009
555,departamento en venta en cuauhtemoc cerca de paseo de la reforma,5.00E+06,75,2,2,easyaviso,25:53.3,66666.66667,19.4320969,-99.1629112,CUAUHTEMOC,15-009
556,cuauhtemoc departamento en venta cuauhtemoc cdmx,5465000,71,2,2,easyaviso,25:53.3,76971.83099,19.4287498,-99.1682508,CUAUHTEMOC,15-009
557,cuauhtemoc departamento en venta cuauhtemoc cdmx,6220000,89,2,2,easyaviso,25:53.3,69887.64045,19.4317498,-99.1652508,CUAUHTEMOC,15-009
558,cuauhtemoc departamento en venta cuauhtemoc cdmx,6432000,86,2,2,easyaviso,25:53.3,74790.69767,19.4327498,-99.1642508,CUAUHTEMOC,15-009
559,cuauhtemoc departamento en venta cuauhtemoc cdmx,5685000,71,2,2,easyaviso,25:53.3,80070.42254,19.4337498,-99.1632508,CUAUHTEMOC,15-009
560,cuauhtemoc departamento en venta cuauhtemoc cdmx,6485000,89,2,2,easyaviso,25:53.3,72865.16854,19.4287498,-99.1682508,CUAUHTEMOC,15-009
561,desarrollo a estrenar cerca de reforma,5238000,78,2,2,easyaviso,25:53.3,67153.84615,19.4321765,-99.1717473,CUAUHTEMOC,15-009
562,departamento venta rio rhin cuauhtemoc,6485000,96,2,2,easyaviso,25:53.3,67552.08333,19.4317498,-99.1652508,CUAUHTEMOC,15-009
563,deptos venta aaa en paseo reforma ritz carlton,15300592,73,NA,NA,easyaviso,25:53.3,209597.1507,19.4240425,-99.1757592,CUAUHTEMOC,15-009
564,departamento en venta en reforma  ritz carlton,30674003.12,113.01,2,2,easyaviso,25:53.3,271427.335,19.4240425,-99.1757592,CUAUHTEMOC,15-009
565,departamento en venta en reforma  ritz carlton,30624164.12,112.29,2,2,easyaviso,25:53.3,272723.8768,19.4240425,-99.1757592,CUAUHTEMOC,15-009
566,departamento en venta en reforma  ritz carlton,19133049.2,70.68,NA,NA,easyaviso,25:53.3,270699.6208,19.4240425,-99.1757592,CUAUHTEMOC,15-009
567,departamento ph venta  cuauhtemoc,9400000,220,2,3,easyaviso,25:53.3,42727.27273,19.4301671,-99.1670868,CUAUHTEMOC,15-009
568,calle reforma. regis residences en venta,35084160,190,2,2,easyaviso,25:53.3,184653.4737,19.4273694,-99.1684647,CUAUHTEMOC,15-009
569,departamento roof privado en cuauhtemoc 147m2 preventa 2 recamaras,7250000,146.87,2,2,easyaviso,25:53.3,49363.38258,19.4284782,-99.1727085,CUAUHTEMOC,15-009
570,departamento con terraza en cuauhtemoc 105m2 preventa 2 recamaras,6700000,104.76,2,2,easyaviso,25:53.3,63955.70829,19.4294782,-99.1717085,CUAUHTEMOC,15-009
571,estrena departamento en rio panuco 53,6048132,70,2,2,easyaviso,25:53.3,86401.88571,19.4316411,-99.1654733,CUAUHTEMOC,15-009
572,exclusivo pent house de dos niveles en la colonia cucuhtemoc,8800000,142,NA,NA,easyaviso,25:53.3,61971.83099,19.4310705,-99.1708389,CUAUHTEMOC,15-009
573,residencias ritz carlton 5001,73092000,266,2,2,easyaviso,25:53.3,274781.9549,19.4240425,-99.1757592,CUAUHTEMOC,15-009
574,venta departamento nuevo en cuauhtemoc  junto a reforma centro zona rosa,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4308577,-99.1650076,CUAUHTEMOC,15-009
575,departamento de 2 recamaas de dos pisos en cuauthemoc cdmx,7200000,139,2,2,easyaviso,25:53.3,51798.56115,19.4297445,-99.171501,CUAUHTEMOC,15-009
576,departamento en venta en cuauhtemoc,8390000,163.5,2,3,easyaviso,25:53.3,51314.98471,19.4260089,-99.1755645,CUAUHTEMOC,15-009
577,departamento en venta en cuauhtemoc,6690000,116.5,NA,2,easyaviso,25:53.3,57424.8927,19.4260089,-99.1755645,CUAUHTEMOC,15-009
578,departamento en venta en cuauhtemoc,4940000,86.5,NA,2,easyaviso,25:53.3,57109.82659,19.4260089,-99.1755645,CUAUHTEMOC,15-009
579,preventa de departamentos en el corazon de cuauhtemoc,7194058,100,2,2,easyaviso,25:53.3,71940.58,19.4291322,-99.1701413,CUAUHTEMOC,15-009
580,departamento en venta colonia cuauhtemoc,8500000,195,NA,2,easyaviso,25:53.3,43589.74359,19.4308061,-99.1660596,CUAUHTEMOC,15-009
581,departamento en st. regis mexico,36058720,183,3,2,easyaviso,25:53.3,197042.1858,19.42570182,-99.17211265,CUAUHTEMOC,15-009
582,departamento  en escandon 95 mts2,6551000,95,NA,2,easyaviso,25:53.3,68957.89474,19.4301322,-99.1691413,CUAUHTEMOC,15-009
583,st regis vendo departamento paseo de la reforma,37033280,180,2,2,easyaviso,25:53.3,205740.4444,19.4256427,-99.172342,CUAUHTEMOC,15-009
584,departamento en venta en cuauhtemoc,7329500,103,2,2,easyaviso,25:53.3,71160.19417,19.4301322,-99.1691413,CUAUHTEMOC,15-009
585,excelente departamento en cuauhtemoc,5450000,100,NA,NA,easyaviso,25:53.3,54500,19.4301322,-99.1691413,CUAUHTEMOC,15-009
586,venta de departamento en la colonia cuauhtemoc,4899000,68,2,2,easyaviso,25:53.3,72044.11765,19.4313378,-99.1683083,CUAUHTEMOC,15-009
587,venta de departamento en colonia cuauhtemoc cuauhtemoc,6690000,116.5,NA,3,easyaviso,25:53.3,57424.8927,19.42603905,-99.17543471,CUAUHTEMOC,15-009
588,venta de penthouse en colonia cuauhtemoc cuauhtemoc,8390000,163.5,2,3,easyaviso,25:53.3,51314.98471,19.42603905,-99.17543471,CUAUHTEMOC,15-009
589,rio panuco 65,5510500,70.12,2,2,easyaviso,25:53.3,78586.7085,19.4317093,-99.1659514,CUAUHTEMOC,15-009
590,departamentos en venta en uno de los mejores edificios de reforma,31504211.3,96.11,NA,NA,easyaviso,25:53.3,327793.2712,19.4301322,-99.1691413,CUAUHTEMOC,15-009
591,preventa de departamentos en san rafael cuauhtemoc cdmx,3635700,61,2,2,easyaviso,25:53.3,59601.63934,19.4324665,-99.1679706,CUAUHTEMOC,15-009
592,desarrollo en rio rhin,6210400,77.13,2,2,easyaviso,25:53.3,80518.60495,19.4301322,-99.1691413,CUAUHTEMOC,15-009
593,desarrollo en guadalquivir,9437730,182.82,2,2,easyaviso,25:53.3,51623.07187,19.4301322,-99.1691413,CUAUHTEMOC,15-009
594,rio guadalquivir  angel de la independencia,9991800,NA,2,2,easyaviso,25:53.3,NA,19.4278057,-99.1695113,CUAUHTEMOC,15-009
595,suite en venta en hotel st. regis,2.00E+07,120,NA,NA,easyaviso,25:53.3,166666.6667,19.4256427,-99.172342,CUAUHTEMOC,15-009
596,venta derechos litigiosos departamento 90m2 a unas cuadras del angel y reforma,2500000,90,2,2,easyaviso,25:53.3,27777.77778,19.4310793,-99.1720284,CUAUHTEMOC,15-009
597,departamento en venta en col. cuauhtemoc cdmx,5053000,72.99,2,2,easyaviso,25:53.3,69228.66146,19.4317746,-99.1716892,CUAUHTEMOC,15-009
598,departamento en venta en cuauhtemoc garden house,6590000,107.68,NA,2,easyaviso,25:53.3,61199.85141,19.4285551,-99.1712297,CUAUHTEMOC,15-009
599,departamento  en venta en rio panuco cuauhtemoc duplex,6300000,94.52,NA,2,easyaviso,25:53.3,66652.5603,19.4295551,-99.1702297,CUAUHTEMOC,15-009
600,rio rhin hermoso y funcional departamento a estrenar,6475000,70,2,2,easyaviso,25:53.3,92500,19.4310044,-99.1650972,CUAUHTEMOC,15-009
601,departamento en venta en paseo de la reforma st regis piso 16,64600000,271,2,2,easyaviso,25:53.3,238376.3838,19.4256427,-99.172342,CUAUHTEMOC,15-009
602,estrena departamento en rio panuco super ubicado,5564245,70,2,2,easyaviso,25:53.3,79489.21429,19.4316411,-99.1654733,CUAUHTEMOC,15-009
603,cuauhtemoc departamento venta cuauhtemoc cdmx,6647892,86,2,2,easyaviso,25:53.3,77301.06977,19.4284881,-99.1702442,CUAUHTEMOC,15-009
604,departamentos venta cuauhtemoc alcaldia cuauhtemoc cdmx,19258729,242,3,3,easyaviso,25:53.3,79581.52479,19.42918068,-99.17212486,CUAUHTEMOC,15-009
605,preventa rio nazas 156  cuauhtemoc,6300000,89,2,2,easyaviso,25:53.3,70786.51685,19.4301322,-99.1691413,CUAUHTEMOC,15-009
606,ultimo depa de 2 recamaras  en cuauhtemoc a 5min polanco,5460286,76,2,2,easyaviso,25:53.3,71845.86842,19.4292751,-99.1705033,CUAUHTEMOC,15-009
607,depa en col cuauhtemoc 2 recamaras 2 banos 1 estacionamiento,5237828,73,2,2,easyaviso,25:53.3,71751.06849,19.4292751,-99.1705033,CUAUHTEMOC,15-009
608,depa de 2 recamaras cerca de polanco en cuauhtemoc,5460286,85.52,2,2,easyaviso,25:53.3,63848.05893,19.4292751,-99.1705033,CUAUHTEMOC,15-009
609,departamento en venta en rosas moreno san rafael,4903253,71,2,2,easyaviso,25:53.3,69059.90141,19.4343262,-99.1647888,CUAUHTEMOC,15-009
610,departamento en venta en  the st. regis cdmx,17500000,120,NA,NA,easyaviso,25:53.3,145833.3333,19.42478947,-99.17242417,CUAUHTEMOC,15-009
611,departamentos en venta en rio nilo cuauhtemoc,8500000,92,2,2,easyaviso,25:53.3,92391.30435,19.4283006,-99.1717538,CUAUHTEMOC,15-009
612,venta departamento col. cuauhtemoc cuauhtemoc,5350000,85.5,NA,2,easyaviso,25:53.3,62573.09942,19.4301322,-99.1691413,CUAUHTEMOC,15-009
613,venta departamentos col. cuauhtemoc,6485000,89.07,2,2,easyaviso,25:53.3,72807.9039,19.4314117,-99.1681005,CUAUHTEMOC,15-009
614,ph en st regis cdmx,76015680,189,2,2,easyaviso,25:53.3,402199.3651,19.4256427,-99.172342,CUAUHTEMOC,15-009
615,calido departamento venta en alcaldia cuauhtemoc,6500000,109,2,2,easyaviso,25:53.3,59633.02752,19.4301322,-99.1691413,CUAUHTEMOC,15-009
616,venta de departamentos cuauhtemoc,5073000,67,2,2,easyaviso,25:53.3,75716.41791,19.4301322,-99.1691413,CUAUHTEMOC,15-009
617,entrega inmediata,5350000,83,NA,2,easyaviso,25:53.3,64457.83133,19.4260089,-99.1755645,CUAUHTEMOC,15-009
618,departamento en obra gris st. regis reforma,35084160,183,2,2,easyaviso,25:53.3,191716.7213,19.4256427,-99.172342,CUAUHTEMOC,15-009
619,departamento en venta rio rhin excelente plusvalia,5073000,68,2,2,easyaviso,25:53.3,74602.94118,19.4317498,-99.1652508,CUAUHTEMOC,15-009
620,venta departamentos en guadalquivir,9991800,182,2,2,easyaviso,25:53.3,54900,19.4322751,-99.1675033,CUAUHTEMOC,15-009
621,melchor ocampo nuevos renta,3100000,47,NA,NA,easyaviso,25:53.3,65957.44681,19.43051623,-99.17283297,CUAUHTEMOC,15-009
622,departamento venta gh rio neva cuauhtemoc,7250927,98,2,2,easyaviso,25:53.3,73989.05102,19.431494,-99.1624579,CUAUHTEMOC,15-009
623,venta depto rio tamesis,4980000,91.34,2,2,easyaviso,25:53.3,54521.56777,19.4311001,-99.1605057,CUAUHTEMOC,15-009
624,departamento en venta en la cuauhtemoc,6850000,90,2,2,easyaviso,25:53.3,76111.11111,19.4301322,-99.1691413,CUAUHTEMOC,15-009
625,departamento de lujo en col. cuauhtemoc para inversion airbnb,5620000,90,NA,2,easyaviso,25:53.3,62444.44444,19.4255513,-99.1751531,CUAUHTEMOC,15-009
626,departamento en venta en la colonia cuauhtemoc,7800000,113.3,2,2,easyaviso,25:53.3,68843.77758,19.4298854,-99.1691796,CUAUHTEMOC,15-009
627,departamento en venta en la colonia cuauhtemoc,6330000,78.41,2,2,easyaviso,25:53.3,80729.49879,19.4298854,-99.1691796,CUAUHTEMOC,15-009
628,departamentos venta cuauhtemoc alcaldia cuauhtemoc cdmx,9416413,92,2,2,easyaviso,25:53.3,102352.3152,19.4301322,-99.1691413,CUAUHTEMOC,15-009
629,venta departamentos nuevos colonia cuauhtemoc apa_3794 yi,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.4292751,-99.1705033,CUAUHTEMOC,15-009
630,departamento 182m2 con roof privado 2 recamaras 2 cajones,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.4312557,-99.1672875,CUAUHTEMOC,15-009
631,departamento 182m2 roof privado 2 recamaras 2 estacionamientos en cuauhtemoc,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.4312557,-99.1672875,CUAUHTEMOC,15-009
632,departamento en venta en ritz carlton residences chapultepec uno,27950380.8,123,2,NA,easyaviso,25:53.3,227238.8683,19.4240425,-99.1757592,CUAUHTEMOC,15-009
633,departamento en venta,4500000,107,NA,2,easyaviso,25:53.3,42056.07477,19.4330872,-99.1680599,CUAUHTEMOC,15-009
634,departamento en venta a una cuadra de reforma cuauhtemoc,5200000,120,2,NA,easyaviso,25:53.3,43333.33333,19.4308623,-99.1639242,CUAUHTEMOC,15-009
635,departamento venta rio neva cuauhtemoc,4984107,77,2,2,easyaviso,25:53.3,64728.66234,19.431494,-99.1624579,CUAUHTEMOC,15-009
636,departamento venta rio neva cuauhtemoc,7184650,112,2,2,easyaviso,25:53.3,64148.66071,19.431494,-99.1624579,CUAUHTEMOC,15-009
637,departamento 89m2 en cuauhtemoc 2 recamaras,6647892,89,2,2,easyaviso,25:53.3,74695.41573,19.4274881,-99.1712442,CUAUHTEMOC,15-009
638,venta departamento en villalongin cdmx,9500000,170,3,3,easyaviso,25:53.3,55882.35294,19.4345534,-99.1697322,CUAUHTEMOC,15-009
639,cuauhtemoc departamento de 2 recamaras con balcon en venta,5830000,98.05,2,2,easyaviso,25:53.3,59459.45946,19.4292751,-99.1705033,CUAUHTEMOC,15-009
640,cuauhtemoc departamento de 2 recamaras con terraza en venta,5450000,71.65,2,2,easyaviso,25:53.3,76064.20098,19.4301322,-99.1691413,CUAUHTEMOC,15-009
641,cuauhtemoc departamento con terraza en venta,4790000,71.65,NA,NA,easyaviso,25:53.3,66852.75645,19.4289499,-99.1711628,CUAUHTEMOC,15-009
642,cuauhtemoc departamento de 2 recamaras con balcon en venta,5100000,74.25,2,2,easyaviso,25:53.3,68686.86869,19.4298854,-99.1691796,CUAUHTEMOC,15-009
643,cuauhtemoc departamento de 2 recamaras en venta,4990000,79.28,2,2,easyaviso,25:53.3,62941.47326,19.4292751,-99.1705033,CUAUHTEMOC,15-009
644,cuauhtemoc departamento con terraza en venta,6550000,119.1,2,2,easyaviso,25:53.3,54995.80185,19.4307209,-99.170468,CUAUHTEMOC,15-009
645,estrena depa en cuauhtemoc,5850000,70.23,2,2,easyaviso,25:53.3,83297.73601,19.4325917,-99.1693627,CUAUHTEMOC,15-009
646,penthouse en venta colonia cuauhtemoc en rio guadalquivir,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.4301322,-99.1691413,CUAUHTEMOC,15-009
647,departamento venta cuauhtemoc cuauhtemoc.,3.60E+07,183,2,2,easyaviso,25:53.3,196721.3115,19.4256427,-99.172342,CUAUHTEMOC,15-009
648,pent house en venta con seguridad en cuauhtemoc cuauhtemoc,8200000,170,2,3,easyaviso,25:53.3,48235.29412,19.4301322,-99.1691413,CUAUHTEMOC,15-009
649,residencia de lujo en paseo de la reforma venta,27950634.19,123.91,2,NA,easyaviso,25:53.3,225572.0619,19.4240425,-99.1757592,CUAUHTEMOC,15-009
650,departamentos en venta en col. cuauhtemoc. cdmx.,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.4282821,-99.1700894,CUAUHTEMOC,15-009
651,venta,5250000,71,NA,NA,easyaviso,25:53.3,73943.66197,19.4308034,-99.1687252,CUAUHTEMOC,15-009
652,venta o renta,4750000,84,2,2,easyaviso,25:53.3,56547.61905,19.4291497,-99.1661618,CUAUHTEMOC,15-009
653,venta de departamento en cuauhtemoc,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.4282557,-99.1702875,CUAUHTEMOC,15-009
654,departamentoresidencia amueblado,5700000,94,NA,NA,easyaviso,25:53.3,60638.29787,19.43011152,-99.16511644,CUAUHTEMOC,15-009
655,departamentoresidencia amueblado,5900000,94,2,2,easyaviso,25:53.3,62765.95745,19.4301322,-99.1691413,CUAUHTEMOC,15-009
656,chapultepec uno r509  cuauhtemoc,16060748.8,58.44,NA,NA,easyaviso,25:53.3,274824.5859,19.4301322,-99.1691413,CUAUHTEMOC,15-009
657,preventa lirio   reforma,4548273,66.7,NA,NA,easyaviso,25:53.3,68190,19.4301322,-99.1691413,CUAUHTEMOC,15-009
658,venta departamento cuauhtemoc,4463850,65.43,2,2,easyaviso,25:53.3,68223.29207,19.4333371,-99.1663083,CUAUHTEMOC,15-009
659,venta departamentos p. de la reforma col. cuauhtemoc apa_2885 hn,19382244.19,65.18,NA,NA,easyaviso,25:53.3,297364.9002,19.4273694,-99.1684647,CUAUHTEMOC,15-009
660,departamento en venta a una cuadra del angel,5975000,105,2,2,easyaviso,25:53.3,56904.7619,19.429816,-99.1683869,CUAUHTEMOC,15-009
661,venta pentgarden con terraza y balcon y departamento col. cuauhtemoc apa_2798 hn,5750000,77,2,2,easyaviso,25:53.3,74675.32468,19.4301322,-99.1691413,CUAUHTEMOC,15-009
662,departamento en cuauhtemoc gran oportunidad de comprar e invertir,4537837.6,120,NA,2,easyaviso,25:53.3,37815.31333,19.4289499,-99.1711628,CUAUHTEMOC,15-009
663,invierte hoy hermoso condo horizontal en rio niagara baratisimo,4587459,110,2,3,easyaviso,25:53.3,41704.17273,19.4283954,-99.1710286,CUAUHTEMOC,15-009
664,departamento en venta rio tamesis,5260000,91.34,2,2,easyaviso,25:53.3,57587.03744,19.4311001,-99.1605057,CUAUHTEMOC,15-009
665,preventa departamento gh en colonia  cuauhtemoc,6850000,147,2,2,easyaviso,25:53.3,46598.63946,19.4304519,-99.170805,CUAUHTEMOC,15-009
666,venta  departamento  nuevo  interior  terraza   cuauhtemoc,6500000,70,2,2,easyaviso,25:53.3,92857.14286,19.4298854,-99.1691796,CUAUHTEMOC,15-009
667,chapultepec uno,16080240,62,NA,NA,easyaviso,25:53.3,259358.7097,19.4240425,-99.1757592,CUAUHTEMOC,15-009
668,hermoso departamento en cuauhtemoc,4950000,69,2,2,easyaviso,25:53.3,71739.13043,19.4286428,-99.1718132,CUAUHTEMOC,15-009
669,departamento embajada usa,9600000,123,2,3,easyaviso,25:53.3,78048.78049,19.4305058,-99.1678621,CUAUHTEMOC,15-009
670,departamento venta cuauhtemoc,5400000,90,2,2,easyaviso,25:53.3,60000,19.4316355,-99.1717677,CUAUHTEMOC,15-009
671,departamento venta rio guadalquivir cuauhtemoc,9981800,182,2,2,easyaviso,25:53.3,54845.05495,19.4292751,-99.1705033,CUAUHTEMOC,15-009
672,venta departamento en rio rhin,5975000,73,2,2,easyaviso,25:53.3,81849.31507,19.4310044,-99.1650972,CUAUHTEMOC,15-009
673,venta departamento en la cuauhtemoc,6975000,72,2,2,easyaviso,25:53.3,96875,19.4310044,-99.1650972,CUAUHTEMOC,15-009
674,departamento en venta reforma st regis,3.70E+07,180,2,2,easyaviso,25:53.3,205555.5556,19.4301322,-99.1691413,CUAUHTEMOC,15-009
675,rio lerma departamento en venta,8700000,190,2,2,easyaviso,25:53.3,45789.47368,19.4263052,-99.173365,CUAUHTEMOC,15-009
676,departamento en la san rafael cuauhtemoc,4200000,129,NA,2,easyaviso,25:53.3,32558.13953,19.43818628,-99.16260548,SAN RAFAEL II,15-074
677,venta departamentos san rafael altamirano 39,3241695,59,NA,2,easyaviso,25:53.3,54943.98305,19.4402445,-99.1621588,SAN RAFAEL II,15-074
678,departamento en venta en san rafael cuauhtemoc.,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4389929,-99.1635993,SAN RAFAEL II,15-074
679,departamento en venta all vista col. san rafael,3645000,61,2,2,easyaviso,25:53.3,59754.09836,19.4395191,-99.1673955,SAN RAFAEL II,15-074
680,vendo departamento en san rafael,4450000,115,2,2,easyaviso,25:53.3,38695.65217,19.4375163,-99.163582,SAN RAFAEL II,15-074
681,departamento entrega inmediata en san rafael en venta,5866000,110,2,2,easyaviso,25:53.3,53327.27273,19.4373442,-99.1642038,SAN RAFAEL II,15-074
682,departamento entrega inmediata en san rafael en venta,6080500,97,2,2,easyaviso,25:53.3,62685.56701,19.4373442,-99.1642038,SAN RAFAEL II,15-074
683,departamentos en venta col. san rafael cuauhtemoc,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4397066,-99.1614544,SAN RAFAEL II,15-074
684,departamento con roof garden privado y balcon en san rafael,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4364045,-99.1650894,SAN RAFAEL II,15-074
685,departamento en venta con roof privado en san rafael cuauhtemoc.,6050646,109,2,2,easyaviso,25:53.3,55510.51376,19.4389929,-99.1635993,SAN RAFAEL II,15-074
686,departamento en venta en san rafael,3650000,47,NA,NA,easyaviso,25:53.3,77659.57447,19.4378062,-99.1644967,SAN RAFAEL II,15-074
687,departamento en venta cuauhtemoc ciudad de mexico,2489308,34,NA,NA,easyaviso,25:53.3,73214.94118,19.4402445,-99.1621588,SAN RAFAEL II,15-074
688,preventa departamentos tipo loft en san rafael cdmx,2729580,36,NA,NA,easyaviso,25:53.3,75821.66667,19.4374601,-99.1618309,SAN RAFAEL II,15-074
689,departamento 2 recamaras en san rafael,3800000,61,2,2,easyaviso,25:53.3,62295.08197,19.4415191,-99.1653955,SAN RAFAEL II,15-074
690,departamento en venta en san rafael 2500000,2500000,86,NA,2,easyaviso,25:53.3,29069.76744,19.4373262,-99.1617888,SAN RAFAEL II,15-074
691,departamento en venta en san rafael 1 recamara,3550000,46,NA,NA,easyaviso,25:53.3,77173.91304,19.4378062,-99.1644967,SAN RAFAEL II,15-074
692,oficina o departamento con doble altura en san rafael,4350000,70,NA,NA,easyaviso,25:53.3,62142.85714,19.4373262,-99.1617888,SAN RAFAEL II,15-074
