Unnamed: 0,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,Unnamed: 14,Unnamed: 15,Unnamed: 16
144,departamento en renta reforma,39000.0,100.0,,,easyaviso,28:03.5,390.0,19.4273694,-99.1684647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148124.67867557)
31,renta departamento colonia cuauhtemoc amueblado y equipado,39000.0,44.0,,,easyaviso,28:03.5,886.3636364,19.4298484,-99.1691571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148399.05954069)
80,departamento 110m2 cuauhtemoc 3 recamaras con roof privado,39000.0,110.0,3.0,3.0,easyaviso,28:03.5,354.5454545,19.424059,-99.1772511,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147759.29743555)
1,penthouse en renta con roof garden privado,39000.0,240.0,2.0,2.0,easyaviso,28:03.5,162.5,19.431105,-99.1614154,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.32661952)
26,hermoso ph en renta con roof garden privado,39000.0,200.0,2.0,2.0,easyaviso,28:03.5,195.0,19.431105,-99.1614154,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.32661952)
43,renta de departamento en cuauhtemoc,39500.0,143.0,3.0,3.0,easyaviso,28:03.5,276.2237762,19.4271322,-99.1721413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148098.81328387)
151,rio tigris,40000.0,170.0,3.0,5.0,easyaviso,28:03.5,235.2941176,19.4298975,-99.166957,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148404.26726728)
108,departamento renta en colonia cuauhtemoc,40000.0,110.0,2.0,2.0,easyaviso,28:03.5,363.6363636,19.431494,-99.1624579,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148580.47366897)
126,renta amplio departamento. col. cuauhtemoc.,40000.0,120.0,2.0,,easyaviso,28:03.5,333.3333333,19.4270375,-99.1738769,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148088.51740384)
93,departamento amueblado 4 recamaras en la cuauhtemoc,40000.0,170.0,4.0,4.0,easyaviso,28:03.5,235.2941176,19.4268328,-99.1699954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148065.45996498)
96,departamento amoblado en renta  rio neva  cuauhtemoc,40000.0,110.0,2.0,2.0,easyaviso,28:03.5,363.6363636,19.4308192,-99.1619165,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148505.75127305)
7,departamento en renta a una calle del angel de la independencia.,41200.0,100.0,2.0,2.0,easyaviso,28:03.5,412.0,19.4270245,-99.1676647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148086.4324087)
47,renta ph en cuauhtemoc con roof garden privado,42000.0,178.0,2.0,2.0,easyaviso,28:03.5,235.9550562,19.43197902,-99.16741984,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148634.64157224)
32,exclusivo departamento exterior en excelente ubicacion,42000.0,173.0,3.0,3.0,easyaviso,28:03.5,242.7745665,19.4296572,-99.1705995,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148378.05196179)
128,renta de departamento en  cuauhtemoc,42000.0,170.0,4.0,4.0,easyaviso,28:03.5,247.0588235,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
51,renta de departamento en cuauhtemoc  con roof garden privado,42000.0,90.0,2.0,2.0,easyaviso,28:03.5,466.6666667,19.4310044,-99.1650972,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148526.56126004)
124,vive en la cdmx cerca de av. reforma en este departamento en renta.,43000.0,170.0,4.0,4.0,easyaviso,28:03.5,252.9411765,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
25,rento departamento en alcaldia cuauhtemoc cdmx,43000.0,90.0,2.0,2.0,easyaviso,28:03.5,477.7777778,19.4317498,-99.1652508,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148609.05773679)
72,renta departamento en cuauhtemoc cdmx ch79,43000.0,90.0,2.0,2.0,easyaviso,28:03.5,477.7777778,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
10,renta departamento cuahutemoc amueblado,44000.0,74.0,2.0,2.0,easyaviso,28:03.5,594.5945946,19.4313622,-99.1691016,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148566.56088417)
41,departamento en renta en cuauhtemoc reforma,44000.0,100.0,2.0,2.0,easyaviso,28:03.5,440.0,19.428903,-99.1718807,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148294.73091209)
84,hermoso departamento renta  cerca de reforma,44000.0,170.0,3.0,5.0,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
85,hermoso departamento renta rio tigris  super amplio,44000.0,170.0,3.0,5.0,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
184,departamento en venta be grand alto polanco 2 recamaras,45000.0,80.89,2.0,2.0,easyaviso,28:03.5,556.3110397,19.4402323,-99.1820243,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149549.45125382)
